,TIMESTAMP,MAIN_Z-LEFT,MAIN_Z-MIDDLE,MAIN_Z-RIGHT,PLC_COUNTER1,PLC_COUNTER2,PLC_COUNTER3,PLC_COUNTER4,PLC_COUNTER5,PLC_COUNTER6,SUB1_ALARM,SUB1_CYCLE_TIME,SUB1_HEATING_STATUS,SUB1_MAX_TEMP,SUB1_PV_TEMP,SUB2_ALARM,SUB2_CYCLE_TIME,SUB2_HEATING_STATUS,SUB2_MAX_TEMP,SUB2_PV_TEMP,SUB3_ALARM,SUB3_CYCLE_TIME,SUB3_HEATING_STATUS,SUB3_MAX_TEMP,SUB3_PV_TEMP,SUB4_ALARM,SUB4_CYCLE_TIME,SUB4_HEATING_STATUS,SUB4_MAX_TEMP,SUB4_PV_TEMP,SUB5_ALARM,SUB5_CYCLE_TIME,SUB5_HEATING_STATUS,SUB5_MAX_TEMP,SUB5_PV_TEMP,SUB6_ALARM,SUB6_CYCLE_TIME,SUB6_HEATING_STATUS,SUB6_MAX_TEMP,SUB6_PV_TEMP,FR_TIME,TO_TIME
0,2023-10-23 15:00:00.042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242.0,,,,,,,2023-10-23 15:00:00,2023-10-23 15:05:00
1,2023-10-23 15:00:00.080,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-10-23 15:00:00,2023-10-23 15:05:00
2,2023-10-23 15:00:00.091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,2023-10-23 15:00:00,2023-10-23 15:05:00
3,2023-10-23 15:00:00.105,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,2023-10-23 15:00:00,2023-10-23 15:05:00
4,2023-10-23 15:00:00.146,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,2023-10-23 15:00:00,2023-10-23 15:05:00
5,2023-10-23 15:00:00.149,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-10-23 15:00:00,2023-10-23 15:05:00
6,2023-10-23 15:00:00.156,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,,,,,,,,,,,,2023-10-23 15:00:00,2023-10-23 15:05:00
7,2023-10-23 15:00:00.242,,,,,,,,,,,,,,,,,,,,,,,234.0,,,,,,,,,,,,,,,,,2023-10-23 15:00:00,2023-10-23 15:05:00
8,2023-10-23 15:00:00.255,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,2023-10-23 15:00:00,2023-10-23 15:05:00
9,2023-10-23 15:00:00.292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0,,2023-10-23 15:00:00,2023-10-23 15:05:00
10,2023-10-23 15:00:00.300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,2023-10-23 15:00:00,2023-10-23 15:05:00
11,2023-10-23 15:00:00.426,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-10-23 15:00:00,2023-10-23 15:05:00
12,2023-10-23 15:00:00.459,,,,,,,,,,,,,,,,,,,,,,,27.0,,,,,,,,,,,,,,,,,2023-10-23 15:00:00,2023-10-23 15:05:00
13,2023-10-23 15:00:00.470,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,2023-10-23 15:00:00,2023-10-23 15:05:00
14,2023-10-23 15:00:00.481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253.0,,2023-10-23 15:00:00,2023-10-23 15:05:00
15,2023-10-23 15:00:00.513,,,,,,,,,,,,,262.0,,,,,,,,,,,,,,,,,,,,28.0,,,,,,,2023-10-23 15:00:00,2023-10-23 15:05:00
16,2023-10-23 15:00:00.522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0,,,,,,2023-10-23 15:00:00,2023-10-23 15:05:00
17,2023-10-23 15:00:00.529,,,,,,,,,,,,,,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,2023-10-23 15:00:00,2023-10-23 15:05:00
18,2023-10-23 15:00:00.536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,2023-10-23 15:00:00,2023-10-23 15:05:00
19,2023-10-23 15:00:00.538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,2023-10-23 15:00:00,2023-10-23 15:05:00
20,2023-10-23 15:00:00.562,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,2023-10-23 15:00:00,2023-10-23 15:05:00
21,2023-10-23 15:00:00.693,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-10-23 15:00:00,2023-10-23 15:05:00
22,2023-10-23 15:00:00.864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,2023-10-23 15:00:00,2023-10-23 15:05:00
23,2023-10-23 15:00:01.721,,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-10-23 15:00:00,2023-10-23 15:05:00
24,2023-10-23 15:00:03.472,,,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-10-23 15:00:00,2023-10-23 15:05:00
25,2023-10-23 15:00:03.796,,,,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-10-23 15:00:00,2023-10-23 15:05:00
26,2023-10-23 15:00:06.990,3.5440921e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-10-23 15:00:00,2023-10-23 15:05:00
27,2023-10-23 15:00:07.143,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-10-23 15:00:00,2023-10-23 15:05:00
28,2023-10-23 15:00:07.786,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-10-23 15:00:00,2023-10-23 15:05:00
29,2023-10-23 15:00:08.210,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-10-23 15:00:00,2023-10-23 15:05:00
30,2023-10-23 15:00:08.978,,,,,,,,,,,,,,,,,,255.0,,,,,,,,,,,,,,,,,,,,,,2023-10-23 15:00:00,2023-10-23 15:05:00
31,2023-10-23 15:00:08.987,,,,,,,,,,,,,,,,,,,29.0,,,,,,,,,,,,,,,,,,,,,2023-10-23 15:00:00,2023-10-23 15:05:00
32,2023-10-23 15:00:09.164,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2023-10-23 15:00:00,2023-10-23 15:05:00
33,2023-10-23 15:00:09.354,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,2023-10-23 15:00:00,2023-10-23 15:05:00
34,2023-10-23 15:00:09.361,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,2023-10-23 15:00:00,2023-10-23 15:05:00
35,2023-10-23 15:00:09.392,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,2023-10-23 15:00:00,2023-10-23 15:05:00
36,2023-10-23 15:00:09.417,,,,,,,,,,,,,,,,,,27.0,,,,,,,,,,,,,,,,,,,,,,2023-10-23 15:00:00,2023-10-23 15:05:00
37,2023-10-23 15:00:09.495,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-10-23 15:00:00,2023-10-23 15:05:00
38,2023-10-23 15:00:09.612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,2023-10-23 15:00:00,2023-10-23 15:05:00
39,2023-10-23 15:00:09.653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,2023-10-23 15:00:00,2023-10-23 15:05:00
40,2023-10-23 15:00:09.681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,2023-10-23 15:00:00,2023-10-23 15:05:00
41,2023-10-23 15:00:09.720,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,2023-10-23 15:00:00,2023-10-23 15:05:00
42,2023-10-23 15:00:09.861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,,,,,,,,,,,2023-10-23 15:00:00,2023-10-23 15:05:00
43,2023-10-23 15:00:10.009,,,,,,,,,,,,,,,,,,,,,,,,28.0,,,,,,,,,,,,,,,,2023-10-23 15:00:00,2023-10-23 15:05:00
44,2023-10-23 15:00:10.011,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,2023-10-23 15:00:00,2023-10-23 15:05:00
45,2023-10-23 15:00:10.028,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-10-23 15:00:00,2023-10-23 15:05:00
46,2023-10-23 15:00:10.088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,2023-10-23 15:00:00,2023-10-23 15:05:00
47,2023-10-23 15:00:10.143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0,,,,,,2023-10-23 15:00:00,2023-10-23 15:05:00
48,2023-10-23 15:00:10.160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0,,2023-10-23 15:00:00,2023-10-23 15:05:00
49,2023-10-23 15:00:10.163,,,,,,,,,,,,,262.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-10-23 15:00:00,2023-10-23 15:05:00
50,2023-10-23 15:00:10.186,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,2023-10-23 15:00:00,2023-10-23 15:05:00
51,2023-10-23 15:00:10.194,,,,,,,,,,,,,,,,,,,,,,,,,,,,254.0,,,,,,,,,,,,2023-10-23 15:00:00,2023-10-23 15:05:00
52,2023-10-23 15:00:10.221,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-10-23 15:00:00,2023-10-23 15:05:00
53,2023-10-23 15:00:10.236,,,,,,,,,,,,,,,,,,,,,,,234.0,,,,,,,,,,,,,,,,,2023-10-23 15:00:00,2023-10-23 15:05:00
54,2023-10-23 15:00:10.265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253.0,,2023-10-23 15:00:00,2023-10-23 15:05:00
55,2023-10-23 15:00:10.290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,2023-10-23 15:00:00,2023-10-23 15:05:00
56,2023-10-23 15:00:10.298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0,,,,,,,2023-10-23 15:00:00,2023-10-23 15:05:00
57,2023-10-23 15:00:10.307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242.0,,,,,,,2023-10-23 15:00:00,2023-10-23 15:05:00
58,2023-10-23 15:00:10.327,,,,,,,,,,,,,,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,2023-10-23 15:00:00,2023-10-23 15:05:00
59,2023-10-23 15:00:10.376,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-10-23 15:00:00,2023-10-23 15:05:00
60,2023-10-23 15:00:10.383,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,2023-10-23 15:00:00,2023-10-23 15:05:00
61,2023-10-23 15:00:10.399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,2023-10-23 15:00:00,2023-10-23 15:05:00
62,2023-10-23 15:00:10.439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,2023-10-23 15:00:00,2023-10-23 15:05:00
63,2023-10-23 15:00:10.466,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-10-23 15:00:00,2023-10-23 15:05:00
64,2023-10-23 15:00:10.481,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,,,,,,,,,,,,2023-10-23 15:00:00,2023-10-23 15:05:00
65,2023-10-23 15:00:10.772,,,,,,,,,,,,,,,,,,,,,,,27.0,,,,,,,,,,,,,,,,,2023-10-23 15:00:00,2023-10-23 15:05:00
66,2023-10-23 15:00:10.804,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-10-23 15:00:00,2023-10-23 15:05:00
67,2023-10-23 15:00:10.819,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,2023-10-23 15:00:00,2023-10-23 15:05:00
68,2023-10-23 15:00:12.409,,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-10-23 15:00:00,2023-10-23 15:05:00
69,2023-10-23 15:00:13.097,,,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-10-23 15:00:00,2023-10-23 15:05:00
70,2023-10-23 15:00:14.176,,,,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-10-23 15:00:00,2023-10-23 15:05:00
71,2023-10-23 15:00:17.641,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-10-23 15:00:00,2023-10-23 15:05:00
72,2023-10-23 15:00:17.729,-5.90682e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-10-23 15:00:00,2023-10-23 15:05:00
73,2023-10-23 15:00:17.884,,,-4.725456e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-10-23 15:00:00,2023-10-23 15:05:00
74,2023-10-23 15:00:18.570,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-10-23 15:00:00,2023-10-23 15:05:00
75,2023-10-23 15:00:19.170,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,2023-10-23 15:00:00,2023-10-23 15:05:00
76,2023-10-23 15:00:19.173,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,2023-10-23 15:00:00,2023-10-23 15:05:00
77,2023-10-23 15:00:19.186,,,,,,,,,,,,,,,,,,255.0,,,,,,,,,,,,,,,,,,,,,,2023-10-23 15:00:00,2023-10-23 15:05:00
78,2023-10-23 15:00:19.447,,,,,,,,,,,,,,,,,,27.0,,,,,,,,,,,,,,,,,,,,,,2023-10-23 15:00:00,2023-10-23 15:05:00
79,2023-10-23 15:00:19.486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242.0,,,,,,,2023-10-23 15:00:00,2023-10-23 15:05:00
80,2023-10-23 15:00:19.487,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-10-23 15:00:00,2023-10-23 15:05:00
81,2023-10-23 15:00:19.540,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-10-23 15:00:00,2023-10-23 15:05:00
82,2023-10-23 15:00:19.550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,2023-10-23 15:00:00,2023-10-23 15:05:00
83,2023-10-23 15:00:19.673,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,2023-10-23 15:00:00,2023-10-23 15:05:00
84,2023-10-23 15:00:19.685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253.0,,2023-10-23 15:00:00,2023-10-23 15:05:00
85,2023-10-23 15:00:19.692,,,,,,,,,,,,,,,,,,,29.0,,,,,,,,,,,,,,,,,,,,,2023-10-23 15:00:00,2023-10-23 15:05:00
86,2023-10-23 15:00:19.821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,,,,,,,,,,,2023-10-23 15:00:00,2023-10-23 15:05:00
87,2023-10-23 15:00:19.831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,2023-10-23 15:00:00,2023-10-23 15:05:00
88,2023-10-23 15:00:19.836,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2023-10-23 15:00:00,2023-10-23 15:05:00
89,2023-10-23 15:00:19.899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,2023-10-23 15:00:00,2023-10-23 15:05:00
90,2023-10-23 15:00:19.930,,,,,,,,,,,,,,,,,,,,,,,,28.0,,,,,,,,,,,,,,,,2023-10-23 15:00:00,2023-10-23 15:05:00
91,2023-10-23 15:00:19.947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,2023-10-23 15:00:00,2023-10-23 15:05:00
92,2023-10-23 15:00:19.987,,,,,,,,,,,,,,,,,,,,,,,,,,,,254.0,,,,,,,,,,,,2023-10-23 15:00:00,2023-10-23 15:05:00
93,2023-10-23 15:00:20.009,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,2023-10-23 15:00:00,2023-10-23 15:05:00
94,2023-10-23 15:00:20.017,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,2023-10-23 15:00:00,2023-10-23 15:05:00
95,2023-10-23 15:00:20.023,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,,,,,,,,,,,,2023-10-23 15:00:00,2023-10-23 15:05:00
96,2023-10-23 15:00:20.056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,2023-10-23 15:00:00,2023-10-23 15:05:00
